question,answer_agent,answer_orig,tool_calls,cost,document
Why does the leaderboard show some random nickname instead of my real name?,"The leaderboard uses a separate **display name**, not your certificate name. By default, that display name is a **random nickname** like “Lucid Elbakyan,” so your real name won’t appear publicly unless you change it.

To update it:
- Go to **Edit Course Profile**
- **First field** = your public nickname/display name for the leaderboard
- **Second field** = your official name for the certificate

So if you’re seeing a random nickname, that’s expected, and you can replace it with any nickname you want.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""leaderboard random nickname real name nickname profile display name\""}""}]",0.0018315,c2903069a0
Where can I check what my current display name is in the course profile?,"You can check it in **Edit Course Profile**.

- Your **first field** is your **display name / nickname** shown publicly on the leaderboard.
- If you’re looking for your entry on the leaderboard, there’s also a **“Jump to your record on the leaderboard”** link.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""current display name course profile where can I check current display name\""}""}]",0.00120375,c2903069a0
Can I change the name that shows up on the leaderboard to my Slack or GitHub name?,"Yes — you can change the public leaderboard name to your Slack username, GitHub username, or any nickname you want.

In **Edit Course Profile**:
- **First field** = your **display name** for the leaderboard
- **Second field** = your **official name** for the certificate

So if you want your leaderboard entry to show your Slack or GitHub name, just put that in the first field.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""leaderboard name Slack GitHub display name change\""}""}]",0.00148875,c2903069a0
What name should I enter if I want my certificate to use my real full name instead of the default one?,"Enter your official full name in the **second field** of **Edit Course Profile** — the name should match your identification documents, like your passport or ID.

The **first field** is just your public display name/nickname for the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate real full name default name what name should I enter\""}""}]",0.00125025,c2903069a0
Can I do the course on my own schedule and still earn the certificate later with a live cohort?,"Yes — you can study in self-paced mode and prepare your project, but you can only earn the certificate if you finish with a **live cohort**.

A few key points:
- **Homework is not required** for the certificate.
- You must **complete the capstone project** and the **required peer reviews**.
- **Project submission and peer review must happen while a live cohort is accepting them**.

So: you can do the learning on your own schedule, but to get the certificate later, you’ll need to submit and complete the project during an active cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""self-paced own schedule later live cohort certificate\""}""}]",0.001836,69d122f12e
"If I study all the materials in self-paced mode, what still has to be done during the live cohort to get certified?","If you study everything in self-paced mode, you still **won’t** be able to get certified on your own.

To get the certificate, you must:

- **Join a live cohort**
- **Submit a capstone project** during that cohort
- **Complete the required peer reviews**

Homework is **not required** for certification.

You can absolutely prepare the project in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting them**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""self-paced mode live cohort certified what still has to be done during the live cohort certification\""}""}]",0.0013335,69d122f12e
"Do I need to submit homework to receive the certificate, or is the final project enough?","You do **not** need to submit homework to get the certificate.

To receive the certificate, you need to:
- **finish the capstone/final project**
- **complete the required peer reviews**
- do this while a **live cohort** is accepting submissions

Homework is **not mandatory** for the certificate, though it can help with practice and leaderboard ranking.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate homework final project enough submit homework receive certificate\""}""}]",0.00111375,69d122f12e
When exactly do the project submission and peer reviews need to happen if I want the certificate?,"To get the certificate, you need to submit your capstone project **while the live cohort submission window is open** and then complete the **required peer reviews during the review window**.

A few important details:

- **Submission and peer review are tied to the live cohort**, not self-paced work.
- **Peer review opens only after the submission form closes**.
- The **review window lasts about a week**, but the **exact deadline is shown on the course management platform**.
- You should **check the platform for the exact dates** rather than calculating them yourself, since the cohort lead opens reviews manually and the date can shift.

If you want, I can also summarize the full certificate requirements in one short checklist.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate project submission peer reviews deadline when exactly do project submission and peer reviews need to happen\""}""}]",0.00165075,69d122f12e
Is it possible to prepare the capstone first by myself and then join a live cohort just for the certificate requirements?,"Yes — you can work on the capstone project in self-paced mode first, but to get the certificate you must submit it and complete the required peer reviews while a live cohort is open.

So the key point is:
- **Preparing the project yourself first:** allowed
- **Submitting for certificate credit:** must happen during a **live cohort**
- **Peer reviews:** also must be completed during that live cohort

If you want, I can also summarize the exact certificate requirements for the course.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""capstone prepare first by myself join live cohort just for certificate requirements\""}""}]",0.00124875,69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is the Capstone the only thing that matters?","Yes — skipping the first homework does **not** disqualify you.

For the certificate, **the Capstone project is the key requirement**. Homework is **not mandatory**; it only affects your leaderboard rank and is recommended for practice.

One caveat: you also need to complete the **required peer reviews** and finish everything while the cohort is live.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate qualify skipped first homework capstone only thing matters\""}""}]",0.00113625,9f689c185f
"Is homework required to get the course certificate, or can I ignore it and still finish the course?","No — homework is **not required** to get the course certificate.

According to the FAQ, you need to:
- finish the **capstone project**
- complete the **required peer reviews**
- submit while a **live cohort** is still accepting submissions

You can **ignore homework** and still finish the course, but it’s recommended for practice and it can affect your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""homework required certificate ignore still finish course\""}""}]",0.0011100,9f689c185f
"If I don’t submit all the homework, will I lose my chance at a certificate?","No — homework is **not required** for the certificate.

To get the certificate, you need to:
- **finish the course with a live cohort**
- **complete the capstone project**
- **do the required peer reviews**

So if you don’t submit all the homework, you **won’t automatically lose your chance at a certificate**. Homework is recommended, but it’s not mandatory.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate homework all homework required lose chance certificate\""}""}]",0.0011505,9f689c185f
What do I actually need to complete to receive the certificate in this course?,"To receive the certificate, you need to:

- **Finish the course with a live cohort** — self-paced completion alone is not enough.
- **Submit a capstone project** while submissions are still open.
- **Complete the required peer reviews** assigned to you.

A few clarifications:
- **Homework is not required** for the certificate.
- You can study the material in self-paced mode, but **project submission and peer review must happen during an active cohort**.

If you want, I can also explain **how the peer-review part works**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate requirements complete to receive the certificate course\""}""}]",0.0013560,9f689c185f
"Are homework assignments mandatory, or are they just for practice and leaderboard points?","Homework assignments are **not mandatory**. They’re mainly for **practice/reinforcing concepts**, and the points you earn from them count toward your **leaderboard rank**.

If you want, I can also clarify how homework affects the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""homework assignments mandatory practice leaderboard points required optional\""}""}]",0.00117975,9f689c185f
Why does the homework content keep changing before I submit it?,"The homework content can change if it’s still a draft.

It’s only considered ready when both are true:
- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, changes are expected, so working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""homework content keep changing before I submit it\""}""}]",0.00127875,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,"If a homework title contains `[DRAFT]`, it means the homework is **not ready yet**.

The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the title **does not** contain `[DRAFT]`.

Until then, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""[DRAFT] homework title meaning\""}""}]",0.00137475,96286b4be4
How can I tell if the homework is actually ready and final?,"The homework is considered ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If the title still has **`[DRAFT]`**, it’s not final yet, and the content may still change. Working on it before that is at your own risk because the final version can be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""how can I tell if the homework is ready final homework status finalized submitted draft\""}""}]",0.00147075,96286b4be4
