question,document
Is there a summer 2027 offering for llm-zoomcamp?,bd31146b0e
When should I expect the next course run to begin?,bd31146b0e
Is there a place I should start from if I want to find the course lectures and videos?,31456f4b5f
Where can I see the video links for each lesson in this course?,31456f4b5f
"Do I need to use the YouTube playlist, or is there a better place to find the latest lesson videos?",31456f4b5f
How do I get to the lesson-specific videos for the LLM Zoomcamp?,31456f4b5f
What's the main source for the course materials and lecture links?,31456f4b5f
Is there a place where I can see the LLM Zoomcamp syllabus and deadlines all in one spot?,20c5a1347e
Where should I go to keep track of homework and my progress in LLM Zoomcamp?,20c5a1347e
Does the course have a management platform for the current cohort structure and assignments?,20c5a1347e
How do I check the LLM Zoomcamp deadlines and follow along with the course progress?,20c5a1347e
Is the Zoomcamp tracking process the same as the other DataTalks.Club courses?,20c5a1347e
"Do we have live sessions or office hours for every module in this course, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a module, should I wait for a live class, or is Slack the place to ask for help?",d65e05bd7a
"Are live sessions part of the default course setup, or are they only announced sometimes?",d65e05bd7a
Is there any extra paid support with regular Zoom office hours for this course?,d65e05bd7a
Where can I find the module materials if there aren’t separate live sessions for each one?,d65e05bd7a
Can I count Bluesky posts toward my learning in public credits for the course?,dbf5369006
Are Bluesky updates accepted as valid learning in public proof?,dbf5369006
"If I share my progress on Bluesky, does that qualify for course credits?",dbf5369006
Do Bluesky posts count when you’re doing learning in public for the class?,dbf5369006
Is it okay to use Bluesky activity as evidence for learning in public credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I join the LLM Zoomcamp Telegram group for announcements?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Where do I go for LLM Zoomcamp announcements and where should I ask course questions?,054f3fd58f
Why does my FAQ document count not match the one shown in the lecture video?,e2d595f23c
Is it normal if my RAG answers are different from the course video’s output?,e2d595f23c
"Could the FAQ data have changed since the recording, and would that affect retrieval results?",e2d595f23c
"If I use the latest FAQ dataset, why might my notebook get a different index than the video?",e2d595f23c
How can I make my RAG notebook match the exact results from the recorded lecture?,e2d595f23c
"The homework deadline already passed, but the submission form is still open — can I still turn it in?",a9353fadfe
"If the deadline is over and the form hasn’t closed yet, is my homework submission still allowed?",a9353fadfe
Can I submit a homework after the listed deadline as long as the form is still open?,a9353fadfe
"Once the due date passes, do I lose the chance to submit, or only when the form closes?",a9353fadfe
The form is still accepting responses even though the deadline passed — should I submit now?,a9353fadfe
"Can I still turn in homework after the deadline if the submission form is still open, or is it completely locked once the date passes?",cdc3b285e5
"Do you ever give deadline extensions for homework, or are late submissions not allowed at all?",cdc3b285e5
"If I miss one homework assignment, does that stop me from getting the course certificate?",cdc3b285e5
How does missing homework affect my leaderboard standing and points?,cdc3b285e5
"Is homework required for passing the course, or is the Capstone project the only thing that matters for the certificate?",cdc3b285e5
Will the name I enter for the certificate be public or shared with anyone else?,651ba06b34
Does the certificate name show up on the leaderboard or anywhere online?,651ba06b34
Can I keep my real name off the public profile but still have it on the certificate?,651ba06b34
What’s the difference between the nickname shown on the leaderboard and the name on the certificate?,651ba06b34
Where do I change the public display name and the certificate name in my course profile?,651ba06b34
Does the course certificate include the total number of hours spent on the course?,5cc511f85b
Will my certificate mention how many hours the course takes?,5cc511f85b
Is there a course-hours count printed anywhere on the certificate?,5cc511f85b
Can I see the total class hours on the certificate after finishing the course?,5cc511f85b
Does the certificate list the amount of hours for the course?,5cc511f85b
Why don’t we use LangChain in this course right away?,b7cdde6b25
What’s the reason for building the RAG pieces ourselves instead of using a framework?,b7cdde6b25
"Is LangChain considered too advanced for this part of the course, or is there another reason?",b7cdde6b25
Wouldn’t it be faster to just use LangChain for prompting and retrieval in the RAG module?,b7cdde6b25
Why does the course make us learn the basics before introducing tools like LangChain?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
What does it mean if responses.create fails with an insufficient credits message?,f5df151c59
How can I fix the OpenAI error about not having enough credits for responses.create?,f5df151c59
"Is the responses.create command broken, or is this error just about my OpenAI account credits?",f5df151c59
Why am I seeing an insufficient credits error from OpenAI when testing responses.create in Module 1 RAG?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing before using it?",152af39a53
"What should I check in my OpenAI account when I see an ""insufficient_quota"" error?",152af39a53
"After adding credits, do I need to make a new API key or can I keep the old one?",152af39a53
"How do I fix the quota error when calling `responses.create(model='gpt-4o', ...)`?",152af39a53
How much money do I need to spend to start using the OpenAI API for this course?,554d0eb78b
Is it true that the OpenAI API costs almost nothing when I use it for the course exercises?,554d0eb78b
"Do I have to add a lot of credit before I can try the OpenAI API, or is a small top-up enough?",554d0eb78b
"What is the minimum amount I can recharge on OpenAI, and is that enough for the course?",554d0eb78b
"Roughly how expensive is it to use the OpenAI API during the course, and what starting credit do people usually add?",554d0eb78b
Do I need to subscribe to the OpenAI API to finish the homework in this course?,85384a18e5
Will I have to pay for OpenAI access for the assignments in module 1?,85384a18e5
Are there free or cheaper options I can use instead of the OpenAI API for this course?,85384a18e5
Can I complete the course without paying for OpenAI services?,85384a18e5
Where can I find alternatives to the OpenAI API for the LLM Zoomcamp?,85384a18e5
Why does the course recommend using uv instead of pip and virtualenv?,f81dea8f7e
What makes uv better or easier than the usual Python setup tools?,f81dea8f7e
"Do I have to use uv in this course, or can I still use pip and virtualenv?",f81dea8f7e
"What does uv replace in a Python workflow, and why is that useful?",f81dea8f7e
Why is uv used in the lessons for managing environments and dependencies?,f81dea8f7e
"Why does my Jupyter notebook keep saying OPENAI_API_KEY is missing, even though I put it in a .env file?",86d99bbf21
"Do I need python-dotenv for the API key to show up in notebooks, or is there another way?",86d99bbf21
Where should I load the .env file before creating the OpenAI client in Jupyter?,86d99bbf21
What’s the correct environment variable name for the OpenAI key in the .env file?,86d99bbf21
"I already set the key, but the notebook still can’t see it — what am I missing?",86d99bbf21
How do I keep my API keys out of GitHub when working with this project?,233dabe430
What's the easiest way to load keys from a .env file in Python?,233dabe430
Do I need to install anything extra to read environment variables from .env?,233dabe430
"Can I store OpenAI, Groq, and Gemini keys in the same .env file?",233dabe430
What code should I use to read an API key from .env after loading it?,233dabe430
Can I do the homework with a different LLM provider instead of the one suggested?,ee43413718
"Is it okay to use Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model for the assignment?",ee43413718
"Do I have to pay for a model API to finish the homework, or can I avoid a paid service?",ee43413718
Will I need to change the code if I switch to another provider for the RAG homework?,ee43413718
Where can I find a list of OpenAI API alternatives recommended for the course?,ee43413718
What do I need to set up before I can call Gemini from the Module 1 RAG notebook using the OpenAI-style API?,0ae5c221b9
How do I point an OpenAI client to Google’s Gemini endpoint and pass my API key from a .env file?,0ae5c221b9
What’s the right way to write the helper function for chatting with a Gemini model in the notebook?,0ae5c221b9
Which Gemini model name should I put in the request when using the OpenAI-compatible endpoint?,0ae5c221b9
Why do the course notebook examples need changes when I use Gemini instead of the newer Responses API?,0ae5c221b9
How do I get Pydantic structured output from Gemini if `responses.parse` isn’t available on the OpenAI-compatible endpoint?,341f71f28c
What’s the right OpenAI SDK method to use with Gemini chat completions when I want parsed objects back?,341f71f28c
Can I define a Pydantic model and have Gemini return it directly through `chat.completions.parse`?,341f71f28c
How should I set up `response_format` so Gemini gives me a parsed FAQ list instead of raw JSON?,341f71f28c
Is there a way to use the OpenAI SDK with Gemini’s OpenAI-compatible URL and still avoid manual JSON parsing?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the easiest way to start Ollama after installing it?,1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
Which command should I use to download and launch Llama 3 locally with Ollama?,1d0b969028
How do I use the Ollama Python package in a simple chat example?,1d0b969028
How do I fix a connection refused error when I try prompting my Ollama RAG homework?,c6fc2d4d11
My Ollama server seems down in the notebook — what’s the quickest way to restart it?,c6fc2d4d11
"After stopping the notebook cell, Ollama won’t respond anymore. Do I need to run the serve command again?",c6fc2d4d11
What command should I use to bring Ollama back up if I get a refused connection error?,c6fc2d4d11
Is there a simple restart step for Ollama when the RAG exercise starts failing to connect?,c6fc2d4d11
Why do I get a different token count from OpenAI than from tiktoken when I check the same prompt?,bf0403d21b
Is it normal that my chat.completions token total is a bit higher than the visible text token count?,bf0403d21b
What extra tokens does OpenAI add around each message in a chat completion request?,bf0403d21b
Why does OpenAI report more tokens than the number I count in my prompt text?,bf0403d21b
"Can whitespace, newlines, or weird unicode make the API token count larger than expected?",bf0403d21b
What’s the easiest way to keep my API key loaded automatically in every terminal without retyping export all the time?,8b2f5e9d04
"How can I set up my project so the OpenAI key gets picked up when I cd into the folder, but I don’t have to manually export it in each shell?",8b2f5e9d04
Is there a tool that works with both .env and .envrc for env vars and is more shell/OS friendly than direnv?,8b2f5e9d04
"If I’m using GitHub Codespaces, what should I use for secrets instead of putting an .env file in the repo?",8b2f5e9d04
"For a Python script, how do I load variables from a .env file at runtime?",8b2f5e9d04
How do I decide on field weights in minsearch or a similar search setup without just guessing?,87d4ea4e08
What’s the best way to test different field weights for retrieval if I have a small labeled set?,87d4ea4e08
"Should I tune search field weights by trial and error, or is there a better method for RAG projects?",87d4ea4e08
What kind of ground-truth data do I need before comparing different field weight settings?,87d4ea4e08
Which metrics should I look at when checking whether one field-weight combination retrieves better than another?,87d4ea4e08
What are the main things I should clean up before using documents in a RAG pipeline?,649c280e6d
"Should I remove things like HTML junk, repeated headers, and OCR mistakes when preparing data for retrieval?",649c280e6d
What useful information do I need to keep in my docs so RAG still has enough context?,649c280e6d
"Do I need to put my source data into JSON for RAG, or can I use another format?",649c280e6d
How should I chunk documents and what metadata is worth saving for better retrieval later?,649c280e6d
"Why does uv show a ""Failed to hardlink files"" warning in GitHub Codespaces, and should I worry about it?",acf8fa5356
"If uv can’t hardlink packages in Codespaces, does the install still succeed or does it break the setup?",acf8fa5356
How do I stop the uv hardlink warning for just the current terminal session?,acf8fa5356
What’s the easiest way to make uv always use copy mode instead of hardlinks in Codespaces?,acf8fa5356
Where can I read more about uv link modes and this hardlink/copy behavior?,acf8fa5356
I keep getting “dotenv is not recognized” — what package do I need to install for this?,0bed1f48da
How do I fix the error when my code says dotenv isn’t recognized in Python?,0bed1f48da
What should I add with uv if load_dotenv from dotenv is missing?,0bed1f48da
"Do I need to install python-dotenv to use load_dotenv, and how do I import it?",0bed1f48da
What’s the correct way to set up dotenv in a project so load_dotenv works?,0bed1f48da
Is it okay to do the course on my own machine instead of using Codespaces?,aa310de435
"Do I have to use Codespaces, or can I set everything up locally for the module?",aa310de435
"If I run the course locally, what tools do I need to install first?",aa310de435
Why does the course recommend Codespaces if local setup is allowed too?,aa310de435
What should I do to keep my local environment reproducible for the course?,aa310de435
"If I keep editing in Codespaces but never commit, is my work still stored somewhere or can I lose it?",610ccb23c0
Where does the code actually live when I save it in GitHub Codespaces?,610ccb23c0
"Do I need to commit often in Codespaces, or is the VM enough to keep my changes safe?",610ccb23c0
Can a Codespace disappear and take my uncommitted changes with it?,610ccb23c0
What’s the best way to make sure my work in Codespaces is not lost later?,610ccb23c0
Why does WSL2 say the model needs more memory than is available even though my PC has enough RAM?,f3dd94f323
How do I increase the RAM available to WSL2 so my model can run?,f3dd94f323
Where do I put the `.wslconfig` file to give WSL2 more memory?,f3dd94f323
What should I write in `.wslconfig` to set WSL2 memory to 8GB?,f3dd94f323
"After changing WSL2 memory settings, how can I check that the new RAM limit is actually applied?",f3dd94f323
"My Codespace is stuck on ""Finishing up"" and won't connect — what should I try first?",830f3d2018
"If GitHub Codespaces keeps failing, is there a browser workaround or should I switch browsers?",830f3d2018
What can I do when my Codespace setup or installs suddenly disappear after a rebuild?,830f3d2018
Do my files in /workspaces survive when I stop and start a Codespace again?,830f3d2018
Should I just delete the Codespace and create a new one if nothing else fixes the problem?,830f3d2018
Can I swap OpenAI for another LLM provider if it’s blocked or not available in my region?,c6ff9083c0
Which providers work with the course code without rewriting everything from scratch?,c6ff9083c0
"If I use Groq, OpenRouter, DeepSeek, Gemini, Mistral, or Z.ai, what exactly do I need to change in the code?",c6ff9083c0
"Can I run a model locally with Ollama, vLLM, or LM Studio instead of calling an external API?",c6ff9083c0
Is there a list of good OpenAI alternatives or local model tools recommended for this course?,c6ff9083c0
How can I keep my notebook from running into OpenAI 429 rate limit errors when it loops over lots of documents?,8e21752415
What should I do in Python to make transient OpenAI rate-limit failures retry instead of breaking my run?,8e21752415
Is there a good way to avoid too many API calls when using threads or a process pool for embeddings or LLM requests?,8e21752415
Should I cache embeddings and model outputs somewhere so rerunning the notebook does not hit the API again?,8e21752415
What’s the easiest cheaper option for course work if my OpenAI account keeps getting rate-limited?,8e21752415
How do I quickly inspect the full LLM API response to see where tool calls are stored?,4a2c64c6e7
"If my provider uses different field names, what’s the easiest way to find token usage in the response?",4a2c64c6e7
What’s the best way to print a Pydantic API response so I can browse it in a notebook?,4a2c64c6e7
"When I switch from OpenAI-style responses to another SDK, how do I figure out which key has the generated text?",4a2c64c6e7
"Why doesn’t the course code work with my LLM provider, and how should I adapt the parsing after checking the whole response object?",4a2c64c6e7
"Why does uv keep picking the virtual environment from my old project, and how do I make it use the .venv in the folder I'm working in?",91675fa206
What's the right way to switch to the correct project venv when I have several folders with their own .venv directories?,91675fa206
Do I need to run deactivate before creating a new environment with uv in another project folder?,91675fa206
"After cd into my project, what commands should I use to create, activate, and verify the right virtual environment?",91675fa206
How can I check that python is actually coming from the current project's .venv and not some other environment?,91675fa206
"I added a package in GitHub Codespaces, but my Jupyter notebook still says the import can’t be found. How do I check if it’s using a different Python environment?",74486f4c87
"What’s the quickest way to see which Python interpreter my notebook kernel is actually running, and how do I compare it with the one in Codespaces?",74486f4c87
"If `uv pip list` shows the package is installed but the notebook still won’t import it, what should I change in the kernel settings?",74486f4c87
How do I switch my notebook to the repo’s `.venv` in GitHub Codespaces so the imports start working?,74486f4c87
"After picking the right environment in the notebook, do I need to restart anything before trying the import again?",74486f4c87
"Why am I suddenly getting a GroqError with model_decommissioned, and what should I change in my code?",b391cb9b0b
"Did Groq retire llama-3.3-70b-versatile or qwen/qwen3-32b, and which model should I use now instead?",b391cb9b0b
"In the Groq Responses API, what reasoning effort value should I set after switching away from older Qwen models?",b391cb9b0b
"I used reasoning_effort=""none"" before — why does that now fail with gpt-oss-120b, and what is the replacement?",b391cb9b0b
How can I update my Groq client setup so it works again after a model deprecation?,b391cb9b0b
"In agentic RAG, what do people mean by a tool or function, and how is it different from just the model answering on its own?",c296ea5a21
"When should the model decide to call a tool in an agentic RAG setup, like for search, database lookup, or calculations?",c296ea5a21
"Are tools and functions basically the same thing in this course, or is there an important difference I should know about?",c296ea5a21
"How does tool use in agentic RAG compare with basic RAG, where retrieval seems to happen before the answer?",c296ea5a21
"Can a tool/function in agentic RAG be something like an API call or a document search, and who decides when to use it?",c296ea5a21
Which free models can I use for tool calling when building an agentic RAG app?,0d74a3616f
Does Groq support any no-cost models that work with tools or function calls?,0d74a3616f
Can I use Deepseek R1 or Llama 4 for tool use without paying?,0d74a3616f
"Besides OpenAI, what other providers support function calling or tool use?",0d74a3616f
"If I switch away from OpenAI, do I need to change my code for tool schemas and responses?",0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I switch from OpenAI to another model?,9e7b3f0c25
"Is `client.responses.create(...)` only for OpenAI, or can I use it with Mistral/Groq/Gemini too?",9e7b3f0c25
What should I read from the response if my provider doesn’t support the Responses API?,9e7b3f0c25
Can I keep using `chat.completions.create(...)` instead of the newer response format for the homework?,9e7b3f0c25
Do I need to change the tool schema when I move my agent code to a non-OpenAI provider?,9e7b3f0c25
"Why am I getting the Azure OpenAI 400 error that says tools[0].function is missing, and what should I change in my weather tool setup?",b9c7c6bb34
How should I format the JSON for my get_weather tool so Azure OpenAI accepts it without the missing parameter error?,b9c7c6bb34
Can you show the correct structure for a function tool called get_weather when using Azure OpenAI?,b9c7c6bb34
I keep seeing an invalid_request_error about tools[0].function not being provided — what does the tool definition need to look like?,b9c7c6bb34
What is the proper JSON schema for the weather tool if I want Azure OpenAI to stop throwing the missing required parameter error?,b9c7c6bb34
"Why do I get a 404 with toyaikit when I point it at Groq or another non-OpenAI model, and what should I switch to instead?",0224d980b3
"How can I make toyaikit work with Groq using the OpenAI-compatible client, without hitting the Responses endpoint issue?",0224d980b3
What’s the right way to use toyaikit with Anthropic models like Claude instead of OpenAI?,0224d980b3
"In toyaikit, which runner/client pair should I use for standard chat completions so non-OpenAI providers don’t break?",0224d980b3
"If I only want to run one prompt in code with toyaikit, how do I do that and get the last reply back?",0224d980b3
How do I change the Lesson 14 handwritten agent loop to work with a provider that only has OpenAI-style chat.completions and tool calling?,8ecd1e8262
What should I replace in the Module 1 agent loop if I want to use chat.completions.create instead of the Responses API?,8ecd1e8262
"Where do I read the tool calls from in a Chat Completions response, and how do I pass the tool result back into the conversation?",8ecd1e8262
Why does the agent loop need a system message and a role=tool message when using an OpenAI-compatible endpoint like Gemini?,8ecd1e8262
Can you show a simple example of running the Lesson 14 search tool with an OpenAI-compatible model until it gives the final answer?,8ecd1e8262
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
"Is the homework listed somewhere on GitHub, or only in the course platform?",53f15299b6
Which links should I open for the 2026 Module 1 homework instructions and materials?,53f15299b6
Do I need to check both the GitHub repo and the course platform for homework info?,53f15299b6
Where can I see the homework prompts and any extra context for Module 1?,53f15299b6
Why am I getting an empty list back after filtering my query in the homework?,83da208a64
"If my query filter returns nothing, could I have indexed the data in the wrong order?",83da208a64
Do I need to set up the index settings before I load the data for HW Q3?,83da208a64
What usually causes a blank result when applying filters and queries in this assignment?,83da208a64
How do I fix the issue where my filtered search keeps returning an empty list?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create(), and what should I change so the request goes through?",cfb07a27d5
"In the Module 1 homework, where exactly should I add max_output_tokens so rag_helper.py stops failing with OpenRouter?",cfb07a27d5
"For the ToyAIKit part of Q6, how do I set the output token limit in OpenAIClient with OpenRouter?",cfb07a27d5
"Why does OpenRouter reject my request before the model even runs, while OpenAI usually gives a 429 instead?",cfb07a27d5
"If I already set a token limit and it still errors, what should I check in my .env and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, what exactly should I use for search, the original docs or the split chunks?",b4300adeb1
"If I already have `documents` and `chunks`, which one should I pass to `index.fit()` in the homework RAG setup?",b4300adeb1
Why is my RAG system supposed to retrieve chunked text instead of the full documents for the prompt?,b4300adeb1
"Does the homework expect the index to be built from the whole records, or only from the chunked records after splitting?",b4300adeb1
What’s the difference between indexing `documents` and indexing `chunks` in this Module 1 RAG task?,b4300adeb1
"For the homework, do I need my numeric answer to match one of the choices exactly, or is being close enough?",5e4ca64cb5
"If my result is a little different from every option in the quiz, should I still pick the nearest one?",5e4ca64cb5
What usually causes homework answers to differ slightly from the listed options?,5e4ca64cb5
My answer is not exactly in the multiple-choice list—when should I worry and check the dataset or instructions again?,5e4ca64cb5
How strict is the homework grading if my number is close but not identical to an option?,5e4ca64cb5
Where do I find the real Module 1 homework instructions for the 2026 cohort?,7d3a2e3505
"If the homework on the platform looks confusing, what should I check first?",7d3a2e3505
"Is the homework usually copied exactly from the lesson, or is it changed a bit?",7d3a2e3505
What should I do if I still don't understand a homework question after reading the GitHub pages?,7d3a2e3505
"When I ask for help in Slack, what kind of info should I send so people can help me faster?",7d3a2e3505
How should I count tokens for the Module 1 homework if I'm using a model provider other than OpenAI?,fe8fed31e6
Where can I find the token usage in the response when my client is OpenAI-compatible?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my provider doesn't show any token usage in the response object?,fe8fed31e6
"For the multiple-choice questions in Module 1, what should I pick if my token count doesn't match exactly?",fe8fed31e6
"Why does my homework link get rejected with a 500 or other non-200 response, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission checker to access it?,bcdb8740ce
"Should I submit the repo URL with the .git suffix, or just the normal GitHub link?",bcdb8740ce
How can I quickly test whether my homework URL is reachable by the checker?,bcdb8740ce
What are the most common reasons a homework repo URL works for me but fails in the grading system?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people say they preserve meaning?",69430a79a8
How does turning text or other non-number data into numbers help with semantic similarity?,69430a79a8
"If two inputs are similar, do embeddings really produce close vectors, and what does that mean in practice?",69430a79a8
Why are embeddings useful for comparing meaning instead of just matching exact words?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
"How do I get rid of the warning about model ""multi-qa-mpnet-base-dot-v1"" being made on sentence-transformers v3.0.0 beta?",aa3f597424
Is there a way to suppress the sentence-transformers version warning in Module 2 vector search?,aa3f597424
"What do I need to install to stop the ""multi-qa-mpnet-base-dot-v1"" warning from showing up?",aa3f597424
"Why am I seeing a message that this model was made on sentence-transformers v3.0.0 beta, and how can I fix it?",aa3f597424
Do I just need to upgrade sentence-transformers to silence that warning message?,aa3f597424
Why did the lesson use just .dot(...) for similarity instead of doing normalization first?,92cd22cada
Is dot product the same as cosine similarity when embeddings are already unit length?,92cd22cada
Why do we need to normalize vectors in the homework but not in the lecture example?,92cd22cada
"Do model embeddings like OpenAI's come normalized by default, or do we have to do it ourselves?",92cd22cada
"If I use TF-IDF plus SVD, can I rely on dot product for cosine similarity without extra steps?",92cd22cada
"For vector search, do I need to embed just the answer text, just the question, or both together?",5c4a8d2e60
"Is there a best choice for embeddings in the Q&A index, or does it depend on the dataset?",5c4a8d2e60
Why would embedding only the answer still work for matching user questions?,5c4a8d2e60
What are the pros and cons of using question plus text as the embedding input?,5c4a8d2e60
"How should I decide which embedding setup gives the best retrieval quality, like hit rate or MRR?",5c4a8d2e60
How do you use cosine similarity to compare two text documents in vector search?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
Why is cosine similarity commonly used with word counts or TF-IDF vectors?,db78580409
"Can cosine similarity work on any vectors, or only on non-zero ones?",db78580409
How does the angle between two vectors relate to how similar their documents are?,db78580409
Why does cosine similarity turn into a dot product once the embeddings are normalized?,95feb4e75b
"If all vectors have unit length, why can we ignore their magnitude in cosine similarity?",95feb4e75b
How does matrix multiplication help compute cosine similarity for a query against many document embeddings?,95feb4e75b
What changes in cosine similarity when both the query and the document vectors are normalized?,95feb4e75b
Why is comparing a query embedding to a whole embedding matrix just a matrix multiplication in this case?,95feb4e75b
"For Module 2, do I have to make a brand-new GitHub repository, or can I just open another Codespace from the one I already have?",1e829a8c6f
Why does the course say to use a separate Codespace for the vector search part instead of reusing the Module 1 one?,1e829a8c6f
"If I spin up a new Codespace for Module 2, will it still come from my existing repo, or do I need a different repo to start it?",1e829a8c6f
What’s the point of creating a fresh Codespace for this module if the setup is quick anyway?,1e829a8c6f
"If I’m going to delete the Module 2 Codespace later, should I push my changes to GitHub first so I don’t lose them?",1e829a8c6f
Why does download.py get stuck at 0% when it tries to fetch model.onnx from HuggingFace?,29b69fbe0b
Is there a way to avoid the hanging download in download.py and just get the file another way?,29b69fbe0b
What should I do if the HuggingFace download for model.onnx never starts or seems blocked?,29b69fbe0b
Can I manually place model.onnx somewhere so download.py won’t try to fetch it again?,29b69fbe0b
Where exactly do I save model.onnx so the script detects it and skips the download?,29b69fbe0b
"Why do the dot-product and loop-based vector search scores not match exactly, even though they should be the same math?",e889793af9
Is it normal for `X.dot(v_query)` and a Python for-loop to return slightly different vector search results?,e889793af9
"I compared the matrix version with the loop version using `np.allclose`, and it returned false — is something broken?",e889793af9
Why do optimized BLAS computations and a sequential loop end up with tiny differences in the final scores?,e889793af9
How should I compare two vector search implementations if exact equality fails because of floating-point rounding?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk?,1a7b27c4df
How can I fix the out of range error when selecting the top chunk from my vector search results?,1a7b27c4df
What usually causes a mismatch between embeddings and chunks in Module 2 vector search?,1a7b27c4df
"Should the embeddings array have the same length as the chunk list, and how do I make that happen?",1a7b27c4df
Do I need to create embeddings from the chunk contents directly to avoid this index error?,1a7b27c4df
Why can FastEmbed still throw an SSL/network error when the model is already cached locally?,6609b934b6
How do I make FastEmbed load a model completely offline from a mounted cache directory?,6609b934b6
"What does `local_files_only=True` do in FastEmbed, and when should I use it?",6609b934b6
"Can I use a model directory I prepared myself instead of Hugging Face cache, and how?",6609b934b6
"Why would an incomplete cache still make FastEmbed try the network, and what should I do to avoid that?",6609b934b6
"For Module 2 homework Q2, why is my cosine similarity not matching any of the multiple-choice answers?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the Q2 embedding, or something else from the homework files?",eaa17a9dc6
