question,answer_llm,answer_orig,document
"Where do I find the main course materials, deadlines, and homework instructions?","The main course materials are in:

- the **LLM Zoomcamp docs**: https://datatalks.club/docs/courses/llm-zoomcamp/
- the **LLM Zoomcamp GitHub repo**: https://github.com/DataTalksClub/llm-zoomcamp
- the **course management platform** for the current cohort, including **deadlines and progress tracking**: https://courses.datatalks.club/llm-zoomcamp-2026/

For homework instructions, check the **GitHub homework instructions** first, because they often include extra context:

- **Module 1 cohort materials**: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- **Module 1 homework instructions**: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

So in short: **course platform for deadlines/submission, GitHub for the detailed materials and homework instructions**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?","The homework follows the lesson workflow, but usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I can’t find my name on the leaderboard — how do I jump to my own entry?,"Click the **""Jump to your record on the leaderboard""** link. When your account is created, you’re automatically assigned a random display name, so that link will take you to your own entry.

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show some random nickname instead of my real name?,"The leaderboard shows your public **display name**, which is anonymous by default and can be a random nickname like “Lucid Elbakyan.”

Your **real name** goes in the **certificate name** field, and that name appears only on your certificate, not on the public leaderboard.

You can change both in **Edit Course Profile**:
- **First field:** leaderboard nickname/display name
- **Second field:** certificate name

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my current display name is in the course profile?,Click **“Edit Course Profile”**. The **first field** is your current **display name/nickname** shown on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the name that shows up on the leaderboard to my Slack or GitHub name?,"Yes. In **Edit Course Profile**, the **first field** is your public nickname/display name, and you can change it to your **Slack username, GitHub username, or any other nickname** you want. This is the name that shows on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name should I enter if I want my certificate to use my real full name instead of the default one?,Enter your official full name in the **second field** of **Edit Course Profile** — the name exactly as it appears on your ID/passport. This is the name that will be printed on your certificate instead of the default name.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course on my own schedule and still earn the certificate later with a live cohort?,"Yes — you can work through the material on your own schedule in self-paced mode, but to earn the certificate you must later finish the course with a live cohort.

You can prepare your project self-paced, but the actual capstone submission and required peer reviews must happen while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I study all the materials in self-paced mode, what still has to be done during the live cohort to get certified?","You still need to:

- **Submit your capstone project** during a live cohort
- **Complete the required peer reviews**

Homework is **not** required. You can prepare everything in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting them**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Do I need to submit homework to receive the certificate, or is the final project enough?","No. Homework is not required for the certificate.

You need to pass the Capstone project, and complete the required peer reviews. Homework is recommended, but it only affects your leaderboard rank, not certificate eligibility.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
When exactly do the project submission and peer reviews need to happen if I want the certificate?,"To get the certificate, **both your capstone project submission and your peer reviews must happen during the live cohort’s active windows**.

Specifically:

- **Project submission** must be done while the cohort is accepting submissions.
- **Peer reviews** must be completed **after submissions close**, during the **peer-review window**.
- The peer-review window lasts **about one week** and the **exact deadline is shown on the course management platform** with your assigned projects.
- If you miss the peer-review window, the submission **won’t count toward the certificate**, even if the project itself passed.

I don’t know the exact dates for your cohort from the context, so please check the course management platform for the current deadlines.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Is it possible to prepare the capstone first by myself and then join a live cohort just for the certificate requirements?,"Yes, you can prepare the capstone project by yourself in self-paced mode, but to get the certificate you must **submit the project and complete the peer reviews while a live cohort is accepting them**.  

So: **prepare first on your own = yes**; **join later only for certificate submission/reviews = yes, but only if the live cohort is open for submissions and peer reviews**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is the Capstone the only thing that matters?",Yes — you still qualify for the certificate if you skipped the first homework. Homework is not mandatory; what matters for the certificate is passing the Capstone project.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required to get the course certificate, or can I ignore it and still finish the course?","No. Homework is not required for the certificate, and you can still finish the course without it. To get the certificate, you need to pass the Capstone project and complete the required peer reviews while a live cohort is accepting submissions.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I don’t submit all the homework, will I lose my chance at a certificate?",No. Missing homework won’t affect your certificate — homework is not mandatory. You only need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to complete to receive the certificate in this course?,"To receive the certificate, you need to:

- **Finish a capstone project**
- **Complete the required peer reviews**

Homework is **not required**.

Also, the project submission and peer reviews must happen while a **live cohort** is accepting them. You can prepare the work in self-paced mode, but you can only get the certificate if you finish with a live cohort.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework assignments mandatory, or are they just for practice and leaderboard points?","Homework is **not mandatory**. It’s mainly for **practice/reinforcing concepts**, and the points you earn **count toward your leaderboard rank**. To get the certificate, you only need to **pass the Capstone project**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before I submit it?,"Because the homework may still be a **draft**.

The homework is only considered final when:

- the homework form is open on the course management platform, **and**
- the homework title does **not** contain `[DRAFT]`

Until both are true, the content can still change. Working on it early is at your own risk, since the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,It means the homework is **not ready yet**. The content may still change until the title no longer contains `[DRAFT]` and the homework form is open on the course management platform.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if the homework is actually ready and final?,"The homework is ready only when both of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If the title still has `[DRAFT]`, it is not final yet, and the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on a homework if it still looks like a draft?,"It’s not fully safe if it still looks like a draft.

The homework is considered ready only when both are true:
- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, the content can still change, so working on it in advance is **at your own risk** because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Why do the homework instructions or questions sometimes change after they appear?,"Because if the homework title contains **`[DRAFT]`**, the homework is **not ready yet**. Until it is ready, the content can still change.

The homework is considered ready only when **both** are true:

- the homework form is **open** on the course management platform
- the homework title **does not contain `[DRAFT]`**

So if you see changes, it means you were looking at a draft version. Working on it early is at your own risk, because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next llm-zoomcamp session starting?,I don't know.,Summer 2027.,bd31146b0e
Do you know when this course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next time this course is planned to run?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a summer 2027 offering for llm-zoomcamp?,Yes — the course next offered is **Summer 2027**.,Summer 2027.,bd31146b0e
When should I expect the next course run to begin?,The next course run is expected to begin in **Summer 2027**.,Summer 2027.,bd31146b0e
Is there a place I should start from if I want to find the course lectures and videos?,"Yes — the **main entry point is the LLM Zoomcamp GitHub repository**:

https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there; **each lesson page has the relevant videos linked at the top**. If you're unsure, start with the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where can I see the video links for each lesson in this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the **lesson folders** there — **each lesson page has the relevant video links at the top**.

If you want, I can also point you to the repo structure.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do I need to use the YouTube playlist, or is there a better place to find the latest lesson videos?","Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the lesson folders there, and each lesson page has the relevant videos linked at the top.

The repo is the **better place to find the latest lesson videos** because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I get to the lesson-specific videos for the LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point: open the **lesson folders**, and each lesson page has the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What's the main source for the course materials and lecture links?,"The main sources are the **LLM Zoomcamp GitHub repository** and the **course management platform**.

For materials and lecture links, start with:
- the **LLM Zoomcamp docs**
- the **general Zoomcamp logistics docs**
- the **LLM Zoomcamp GitHub repository**

The course platform is mainly for **deadlines and submissions**, while the GitHub repo contains the core materials and often the lecture/video links.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a place where I can see the LLM Zoomcamp syllabus and deadlines all in one spot?,"Yes — use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It has the **syllabus/current cohort structure, homework, deadlines, and progress tracking** all in one place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where should I go to keep track of homework and my progress in LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform** to track your **syllabus, deadlines, homework, and progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Does the course have a management platform for the current cohort structure and assignments?,"Yes — the course uses a management platform for the current cohort structure, homework, deadlines, and progress tracking:

[LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/)

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I check the LLM Zoomcamp deadlines and follow along with the course progress?,"Use the **LLM Zoomcamp course management platform** to check the **deadlines, homework, syllabus, and progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

For following along with the course, you can also start with:

- the **LLM Zoomcamp docs**: https://datatalks.club/docs/courses/llm-zoomcamp/
- the **general Zoomcamp logistics docs**: https://datatalks.club/docs/courses/zoomcamp-logistics/
- the **LLM Zoomcamp GitHub repo**: https://github.com/DataTalksClub/llm-zoomcamp

A typical workflow is:
1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform before the deadline

I don’t know anything beyond what’s in the course platform and docs.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is the Zoomcamp tracking process the same as the other DataTalks.Club courses?,Yes. The context says the LLM Zoomcamp process is the same as in other DataTalks.Club Zoomcamps.,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we have live sessions or office hours for every module in this course, or is everything just pre-recorded?","There are **no separate live sessions for every module by default**. The module materials are **pre-recorded** and available in the course repo.

If live sessions happen, they’re **announced separately**. If you get stuck, you should ask in **Slack** and follow the question-asking guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
