question,document
Is there a summer 2027 offering for llm-zoomcamp?,bd31146b0e
When should I expect the next course run to begin?,bd31146b0e
Is there a place I should start from if I want to find the course lectures and videos?,31456f4b5f
Where can I see the video links for each lesson in this course?,31456f4b5f
"Do I need to use the YouTube playlist, or is there a better place to find the latest lesson videos?",31456f4b5f
How do I get to the lesson-specific videos for the LLM Zoomcamp?,31456f4b5f
What's the main source for the course materials and lecture links?,31456f4b5f
Is there a place where I can see the LLM Zoomcamp syllabus and deadlines all in one spot?,20c5a1347e
Where should I go to keep track of homework and my progress in LLM Zoomcamp?,20c5a1347e
Does the course have a management platform for the current cohort structure and assignments?,20c5a1347e
How do I check the LLM Zoomcamp deadlines and follow along with the course progress?,20c5a1347e
Is the Zoomcamp tracking process the same as the other DataTalks.Club courses?,20c5a1347e
"Do we have live sessions or office hours for every module in this course, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a module, should I wait for a live class, or is Slack the place to ask for help?",d65e05bd7a
"Are live sessions part of the default course setup, or are they only announced sometimes?",d65e05bd7a
Is there any extra paid support with regular Zoom office hours for this course?,d65e05bd7a
Where can I find the module materials if there aren’t separate live sessions for each one?,d65e05bd7a
Can I count Bluesky posts toward my learning in public credits for the course?,dbf5369006
Are Bluesky updates accepted as valid learning in public proof?,dbf5369006
"If I share my progress on Bluesky, does that qualify for course credits?",dbf5369006
Do Bluesky posts count when you’re doing learning in public for the class?,dbf5369006
Is it okay to use Bluesky activity as evidence for learning in public credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I join the LLM Zoomcamp Telegram group for announcements?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Where do I go for LLM Zoomcamp announcements and where should I ask course questions?,054f3fd58f
Why does my FAQ document count not match the one shown in the lecture video?,e2d595f23c
Is it normal if my RAG answers are different from the course video’s output?,e2d595f23c
"Could the FAQ data have changed since the recording, and would that affect retrieval results?",e2d595f23c
"If I use the latest FAQ dataset, why might my notebook get a different index than the video?",e2d595f23c
How can I make my RAG notebook match the exact results from the recorded lecture?,e2d595f23c
"The homework deadline already passed, but the submission form is still open — can I still turn it in?",a9353fadfe
"If the deadline is over and the form hasn’t closed yet, is my homework submission still allowed?",a9353fadfe
Can I submit a homework after the listed deadline as long as the form is still open?,a9353fadfe
"Once the due date passes, do I lose the chance to submit, or only when the form closes?",a9353fadfe
The form is still accepting responses even though the deadline passed — should I submit now?,a9353fadfe
"Can I still turn in homework after the deadline if the submission form is still open, or is it completely locked once the date passes?",cdc3b285e5
"Do you ever give deadline extensions for homework, or are late submissions not allowed at all?",cdc3b285e5
"If I miss one homework assignment, does that stop me from getting the course certificate?",cdc3b285e5
How does missing homework affect my leaderboard standing and points?,cdc3b285e5
"Is homework required for passing the course, or is the Capstone project the only thing that matters for the certificate?",cdc3b285e5
Will the name I enter for the certificate be public or shared with anyone else?,651ba06b34
Does the certificate name show up on the leaderboard or anywhere online?,651ba06b34
Can I keep my real name off the public profile but still have it on the certificate?,651ba06b34
What’s the difference between the nickname shown on the leaderboard and the name on the certificate?,651ba06b34
Where do I change the public display name and the certificate name in my course profile?,651ba06b34
Does the course certificate include the total number of hours spent on the course?,5cc511f85b
Will my certificate mention how many hours the course takes?,5cc511f85b
Is there a course-hours count printed anywhere on the certificate?,5cc511f85b
Can I see the total class hours on the certificate after finishing the course?,5cc511f85b
Does the certificate list the amount of hours for the course?,5cc511f85b
Why don’t we use LangChain in this course right away?,b7cdde6b25
What’s the reason for building the RAG pieces ourselves instead of using a framework?,b7cdde6b25
"Is LangChain considered too advanced for this part of the course, or is there another reason?",b7cdde6b25
Wouldn’t it be faster to just use LangChain for prompting and retrieval in the RAG module?,b7cdde6b25
Why does the course make us learn the basics before introducing tools like LangChain?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
What does it mean if responses.create fails with an insufficient credits message?,f5df151c59
How can I fix the OpenAI error about not having enough credits for responses.create?,f5df151c59
"Is the responses.create command broken, or is this error just about my OpenAI account credits?",f5df151c59
Why am I seeing an insufficient credits error from OpenAI when testing responses.create in Module 1 RAG?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing before using it?",152af39a53
"What should I check in my OpenAI account when I see an ""insufficient_quota"" error?",152af39a53
"After adding credits, do I need to make a new API key or can I keep the old one?",152af39a53
"How do I fix the quota error when calling `responses.create(model='gpt-4o', ...)`?",152af39a53
How much money do I need to spend to start using the OpenAI API for this course?,554d0eb78b
Is it true that the OpenAI API costs almost nothing when I use it for the course exercises?,554d0eb78b
"Do I have to add a lot of credit before I can try the OpenAI API, or is a small top-up enough?",554d0eb78b
"What is the minimum amount I can recharge on OpenAI, and is that enough for the course?",554d0eb78b
"Roughly how expensive is it to use the OpenAI API during the course, and what starting credit do people usually add?",554d0eb78b
Do I need to subscribe to the OpenAI API to finish the homework in this course?,85384a18e5
Will I have to pay for OpenAI access for the assignments in module 1?,85384a18e5
Are there free or cheaper options I can use instead of the OpenAI API for this course?,85384a18e5
Can I complete the course without paying for OpenAI services?,85384a18e5
Where can I find alternatives to the OpenAI API for the LLM Zoomcamp?,85384a18e5
Why does the course recommend using uv instead of pip and virtualenv?,f81dea8f7e
What makes uv better or easier than the usual Python setup tools?,f81dea8f7e
"Do I have to use uv in this course, or can I still use pip and virtualenv?",f81dea8f7e
"What does uv replace in a Python workflow, and why is that useful?",f81dea8f7e
Why is uv used in the lessons for managing environments and dependencies?,f81dea8f7e
"Why does my Jupyter notebook keep saying OPENAI_API_KEY is missing, even though I put it in a .env file?",86d99bbf21
"Do I need python-dotenv for the API key to show up in notebooks, or is there another way?",86d99bbf21
Where should I load the .env file before creating the OpenAI client in Jupyter?,86d99bbf21
What’s the correct environment variable name for the OpenAI key in the .env file?,86d99bbf21
"I already set the key, but the notebook still can’t see it — what am I missing?",86d99bbf21
How do I keep my API keys out of GitHub when working with this project?,233dabe430
What's the easiest way to load keys from a .env file in Python?,233dabe430
Do I need to install anything extra to read environment variables from .env?,233dabe430
"Can I store OpenAI, Groq, and Gemini keys in the same .env file?",233dabe430
What code should I use to read an API key from .env after loading it?,233dabe430
Can I do the homework with a different LLM provider instead of the one suggested?,ee43413718
"Is it okay to use Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model for the assignment?",ee43413718
"Do I have to pay for a model API to finish the homework, or can I avoid a paid service?",ee43413718
Will I need to change the code if I switch to another provider for the RAG homework?,ee43413718
Where can I find a list of OpenAI API alternatives recommended for the course?,ee43413718
What do I need to set up before I can call Gemini from the Module 1 RAG notebook using the OpenAI-style API?,0ae5c221b9
How do I point an OpenAI client to Google’s Gemini endpoint and pass my API key from a .env file?,0ae5c221b9
What’s the right way to write the helper function for chatting with a Gemini model in the notebook?,0ae5c221b9
Which Gemini model name should I put in the request when using the OpenAI-compatible endpoint?,0ae5c221b9
Why do the course notebook examples need changes when I use Gemini instead of the newer Responses API?,0ae5c221b9
How do I get Pydantic structured output from Gemini if `responses.parse` isn’t available on the OpenAI-compatible endpoint?,341f71f28c
What’s the right OpenAI SDK method to use with Gemini chat completions when I want parsed objects back?,341f71f28c
Can I define a Pydantic model and have Gemini return it directly through `chat.completions.parse`?,341f71f28c
How should I set up `response_format` so Gemini gives me a parsed FAQ list instead of raw JSON?,341f71f28c
Is there a way to use the OpenAI SDK with Gemini’s OpenAI-compatible URL and still avoid manual JSON parsing?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the easiest way to start Ollama after installing it?,1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
Which command should I use to download and launch Llama 3 locally with Ollama?,1d0b969028
How do I use the Ollama Python package in a simple chat example?,1d0b969028
How do I fix a connection refused error when I try prompting my Ollama RAG homework?,c6fc2d4d11
My Ollama server seems down in the notebook — what’s the quickest way to restart it?,c6fc2d4d11
"After stopping the notebook cell, Ollama won’t respond anymore. Do I need to run the serve command again?",c6fc2d4d11
What command should I use to bring Ollama back up if I get a refused connection error?,c6fc2d4d11
Is there a simple restart step for Ollama when the RAG exercise starts failing to connect?,c6fc2d4d11
Why do I get a different token count from OpenAI than from tiktoken when I check the same prompt?,bf0403d21b
Is it normal that my chat.completions token total is a bit higher than the visible text token count?,bf0403d21b
What extra tokens does OpenAI add around each message in a chat completion request?,bf0403d21b
Why does OpenAI report more tokens than the number I count in my prompt text?,bf0403d21b
"Can whitespace, newlines, or weird unicode make the API token count larger than expected?",bf0403d21b
What’s the easiest way to keep my API key loaded automatically in every terminal without retyping export all the time?,8b2f5e9d04
"How can I set up my project so the OpenAI key gets picked up when I cd into the folder, but I don’t have to manually export it in each shell?",8b2f5e9d04
Is there a tool that works with both .env and .envrc for env vars and is more shell/OS friendly than direnv?,8b2f5e9d04
"If I’m using GitHub Codespaces, what should I use for secrets instead of putting an .env file in the repo?",8b2f5e9d04
"For a Python script, how do I load variables from a .env file at runtime?",8b2f5e9d04
How do I decide on field weights in minsearch or a similar search setup without just guessing?,87d4ea4e08
What’s the best way to test different field weights for retrieval if I have a small labeled set?,87d4ea4e08
"Should I tune search field weights by trial and error, or is there a better method for RAG projects?",87d4ea4e08
What kind of ground-truth data do I need before comparing different field weight settings?,87d4ea4e08
Which metrics should I look at when checking whether one field-weight combination retrieves better than another?,87d4ea4e08
What are the main things I should clean up before using documents in a RAG pipeline?,649c280e6d
"Should I remove things like HTML junk, repeated headers, and OCR mistakes when preparing data for retrieval?",649c280e6d
What useful information do I need to keep in my docs so RAG still has enough context?,649c280e6d
"Do I need to put my source data into JSON for RAG, or can I use another format?",649c280e6d
How should I chunk documents and what metadata is worth saving for better retrieval later?,649c280e6d
"Why does uv show a ""Failed to hardlink files"" warning in GitHub Codespaces, and should I worry about it?",acf8fa5356
"If uv can’t hardlink packages in Codespaces, does the install still succeed or does it break the setup?",acf8fa5356
How do I stop the uv hardlink warning for just the current terminal session?,acf8fa5356
What’s the easiest way to make uv always use copy mode instead of hardlinks in Codespaces?,acf8fa5356
Where can I read more about uv link modes and this hardlink/copy behavior?,acf8fa5356
I keep getting “dotenv is not recognized” — what package do I need to install for this?,0bed1f48da
How do I fix the error when my code says dotenv isn’t recognized in Python?,0bed1f48da
What should I add with uv if load_dotenv from dotenv is missing?,0bed1f48da
"Do I need to install python-dotenv to use load_dotenv, and how do I import it?",0bed1f48da
What’s the correct way to set up dotenv in a project so load_dotenv works?,0bed1f48da
Is it okay to do the course on my own machine instead of using Codespaces?,aa310de435
"Do I have to use Codespaces, or can I set everything up locally for the module?",aa310de435
"If I run the course locally, what tools do I need to install first?",aa310de435
Why does the course recommend Codespaces if local setup is allowed too?,aa310de435
What should I do to keep my local environment reproducible for the course?,aa310de435
"If I keep editing in Codespaces but never commit, is my work still stored somewhere or can I lose it?",610ccb23c0
Where does the code actually live when I save it in GitHub Codespaces?,610ccb23c0
"Do I need to commit often in Codespaces, or is the VM enough to keep my changes safe?",610ccb23c0
Can a Codespace disappear and take my uncommitted changes with it?,610ccb23c0
